z,charge,jt_GeV,A_UT,A_UT_coarse,FUU_reduced,FUT_reduced
1.300000000000000044e-01,-1.000000000000000000e+00,1.213973284414793241e+00,-1.746618028273739815e-03,-1.746597033483727416e-03,2.201314887093173351e-05,-3.844856267704308469e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.266442730265795458e+00,-1.719553056178172324e-03,-1.719518915582449224e-03,1.836014312052545468e-05,-3.157124021476819057e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.321179971284331733e+00,-1.695885031454450647e-03,-1.695836313251696112e-03,1.527224540558989782e-05,-2.589997238003891234e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.378283024417950919e+00,-1.675744927390253195e-03,-1.675680231895362209e-03,1.266570404025341528e-05,-2.122448929728089599e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.437854143029440479e+00,-1.659624309883141885e-03,-1.659542130867847770e-03,1.046648645487005601e-05,-1.737043535956496902e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.500000000000000000e+00,-1.648378017267516232e-03,-1.648276613284150628e-03,8.610739688742999901e-06,-1.419375401533689693e-08
3.699999999999999956e-01,1.000000000000000000e+00,1.000000000000000056e-01,5.955119412088405971e-03,5.956313584749718670e-03,5.479611352833725245e-05,3.263173993796012707e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.043221252497575080e-01,6.181603213080845427e-03,6.182837643884850007e-03,5.465126701997599076e-05,3.378324478096228214e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.088310581662609300e-01,6.413939781837939454e-03,6.415214782216211754e-03,5.449419702608806175e-05,3.495224981849409400e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.135348728108431654e-01,6.651905075693397354e-03,6.653220801580553290e-03,5.432392592357240135e-05,3.613575985826033660e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.184419922158806843e-01,6.895213149642219486e-03,6.896569577257044212e-03,5.413940771363474945e-05,3.733027559808957337e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.235612034677590898e-01,7.143509060388333366e-03,7.144905959740478936e-03,5.393952506494735158e-05,3.853174860144950081e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.289016734417433585e-01,7.396361404458234000e-03,7.397798310544672143e-03,5.372308660019796042e-05,3.973553642580715338e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.344729652169289191e-01,7.653254566705332794e-03,7.654730748408397970e-03,5.348882452323808353e-05,4.093635905501720467e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.402850552006674190e-01,7.913580786663503355e-03,7.915095213425328222e-03,5.323539270201363578e-05,4.212825808571415572e-07
