z,charge,jt_GeV,A_UT,A_UT_coarse,FUU_reduced,FUT_reduced
1.300000000000000044e-01,-1.000000000000000000e+00,3.269941068829917974e-01,-5.336433320933565115e-03,-5.336417203658658064e-03,6.835409474979791148e-04,-3.647670688450716614e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.411272017418006119e-01,-5.293983704486318609e-03,-5.293970120197962967e-03,6.594532583589283840e-04,-3.491134803622573088e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.558711466620742558e-01,-5.232812063650778105e-03,-5.232801212043398931e-03,6.343172730911358784e-04,-3.319263078813361091e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.712523433485573343e-01,-5.152750466955417254e-03,-5.152742526669067819e-03,6.081806586218577301e-04,-3.133803172707030718e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.872983346207417577e-01,-5.053969301081952942e-03,-5.053964423597194847e-03,5.811079804719028637e-04,-2.936901893918728124e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.040378537332751097e-01,-4.937016178801716289e-03,-4.937014482457252086e-03,5.531819695705708856e-04,-2.731068333591307134e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.215008758280593404e-01,-4.802845333502113977e-03,-4.802846897972257688e-03,5.245044917584310322e-04,-2.519113950642878676e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.397186716101729176e-01,-4.652833691081752036e-03,-4.652838552697348244e-03,4.951971103211123349e-04,-2.304069798628398516e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.587238633437344948e-01,-4.488779856017267519e-03,-4.488788004334340678e-03,4.654011242068039657e-04,-2.089083191307291851e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.785504832679771670e-01,-4.312882690059423318e-03,-4.312894066063052874e-03,4.352769628713993775e-04,-1.877298478549696847e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.992340345381389710e-01,-4.127697087021551907e-03,-4.127711583283403401e-03,4.050028253340893841e-04,-1.671728982367019285e-06
1.300000000000000044e-01,-1.000000000000000000e+00,5.208115548002949513e-01,-3.936066004118825290e-03,-3.936083467093509647e-03,3.747724684322260012e-04,-1.475129172275780390e-06
1.300000000000000044e-01,-1.000000000000000000e+00,5.433216825139731698e-01,-3.741029781046153416e-03,-3.741050015484868266e-03,3.447920796063170504e-04,-1.289877438076068248e-06
1.300000000000000044e-01,-1.000000000000000000e+00,5.668047261413169391e-01,-3.545716149725798138e-03,-3.545738924903761753e-03,3.152762143207466102e-04,-1.117879964741483196e-06
1.300000000000000044e-01,-1.000000000000000000e+00,5.913027363266896153e-01,-3.353216883443160649e-03,-3.353241940548676130e-03,2.864428377329700497e-04,-9.605049596275648517e-07
1.300000000000000044e-01,-1.000000000000000000e+00,6.168595811959725062e-01,-3.166459410779517113e-03,-3.166486470417701361e-03,2.585075829834590846e-04,-8.185537688958409884e-07
1.300000000000000044e-01,-1.000000000000000000e+00,6.435210249103920921e-01,-2.988083494890994389e-03,-2.988112263251380130e-03,2.316774206778789093e-04,-6.922714768664874925e-07
1.300000000000000044e-01,-1.000000000000000000e+00,6.713348096155424827e-01,-2.820333794418506627e-03,-2.820363966294185502e-03,2.061440192374999227e-04,-5.813949439727797834e-07
1.300000000000000044e-01,-1.000000000000000000e+00,7.003507409323472821e-01,-2.664978396918205473e-03,-2.665009653509520238e-03,1.820771544970544169e-04,-4.852316833069885382e-07
1.300000000000000044e-01,-1.000000000000000000e+00,7.306207771430480724e-01,-2.523261069991539207e-03,-2.523293069356189865e-03,1.596185876307282454e-04,-4.027593682156495840e-07
1.300000000000000044e-01,-1.000000000000000000e+00,7.621991222319222103e-01,-2.395891154128672752e-03,-2.395923512335388413e-03,1.388768604624502777e-04,-3.327338414951466080e-07
1.300000000000000044e-01,-1.000000000000000000e+00,7.951423229473382204e-01,-2.283070264744206483e-03,-2.283102526338292790e-03,1.199234445427610517e-04,-2.737936502812786487e-07
1.300000000000000044e-01,-1.000000000000000000e+00,8.295093700589535324e-01,-2.184550184469510360e-03,-2.184581781861246429e-03,1.027906164959817162e-04,-2.245512602280315665e-07
1.300000000000000044e-01,-1.000000000000000000e+00,8.653618039913759663e-01,-2.099712614978843130e-03,-2.099742817909154829e-03,8.747131471738331507e-05,-1.836646229608742837e-07
1.300000000000000044e-01,-1.000000000000000000e+00,9.027638250234443218e-01,-2.027659827502667749e-03,-2.027687685873123292e-03,7.392106789838974999e-05,-1.498867797836619554e-07
1.300000000000000044e-01,-1.000000000000000000e+00,9.417824082504592242e-01,-1.967306256281950785e-03,-1.967330542266202634e-03,6.206189045610070168e-05,-1.220947453709720128e-07
1.300000000000000044e-01,-1.000000000000000000e+00,9.824874235152266655e-01,-1.917464538183493231e-03,-1.917483696246236003e-03,5.178783937865598152e-05,-9.930134551771551498e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.024951760522670341e+00,-1.876924448581159064e-03,-1.876936563813616943e-03,4.297175278634358833e-05,-8.065473340307382398e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.069251459362054568e+00,-1.844528148735340677e-03,-1.844530942981801843e-03,3.547257409098600106e-05,-6.543016141892362205e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.115465846670542716e+00,-1.819248731973936196e-03,-1.819239591114547774e-03,2.914263081283144060e-05,-5.301769415262815757e-08
