z,charge,jt_GeV,A_UT,A_UT_coarse,FUU_reduced,FUT_reduced
1.300000000000000044e-01,-1.000000000000000000e+00,5.668047261413169391e-01,-3.450001239815086908e-03,-3.450024711311688690e-03,2.617813151142677885e-04,-9.031458617046477724e-07
1.300000000000000044e-01,-1.000000000000000000e+00,5.913027363266896153e-01,-3.290517669537595252e-03,-3.290543496711735919e-03,2.401485664989898945e-04,-7.902131013790504789e-07
1.300000000000000044e-01,-1.000000000000000000e+00,6.168595811959725062e-01,-3.133224951866688760e-03,-3.133252769944253318e-03,2.189952625065235846e-04,-6.861614208260352261e-07
1.300000000000000044e-01,-1.000000000000000000e+00,6.435210249103920921e-01,-2.980320419413352417e-03,-2.980349848997217773e-03,1.984754654374339415e-04,-5.915204823957534272e-07
1.300000000000000044e-01,-1.000000000000000000e+00,6.713348096155424827e-01,-2.833752947011736537e-03,-2.833783599489127485e-03,1.787369517809583050e-04,-5.064963638491852360e-07
1.300000000000000044e-01,-1.000000000000000000e+00,7.003507409323472821e-01,-2.695153928384397615e-03,-2.695185406798991743e-03,1.599165556931594478e-04,-4.309997332901209794e-07
1.300000000000000044e-01,-1.000000000000000000e+00,7.306207771430480724e-01,-2.565789489918670480e-03,-2.565821383794270483e-03,1.421355772386551704e-04,-3.646899702224648546e-07
1.300000000000000044e-01,-1.000000000000000000e+00,7.621991222319222103e-01,-2.446537186771893021e-03,-2.446569059823715860e-03,1.254955476218065072e-04,-3.070295240310526357e-07
1.300000000000000044e-01,-1.000000000000000000e+00,7.951423229473382204e-01,-2.337887462524391915e-03,-2.337918832948148850e-03,1.100746595952740195e-04,-2.573421666094313869e-07
1.300000000000000044e-01,-1.000000000000000000e+00,8.295093700589535324e-01,-2.239967173255472729e-03,-2.239997487352333918e-03,9.592515710407802489e-05,-2.148692030025087644e-07
1.300000000000000044e-01,-1.000000000000000000e+00,8.653618039913759663e-01,-2.152580152908598835e-03,-2.152608754170007126e-03,8.307192905691475186e-05,-1.788189857517458235e-07
1.300000000000000044e-01,-1.000000000000000000e+00,9.027638250234443218e-01,-2.075258710800051160e-03,-2.075284808175405660e-03,7.151246752964847528e-05,-1.484068711717088203e-07
1.300000000000000044e-01,-1.000000000000000000e+00,9.417824082504592242e-01,-2.007320382155358511e-03,-2.007343022890560515e-03,6.121823636526767254e-05,-1.228846136156061593e-07
1.300000000000000044e-01,-1.000000000000000000e+00,9.824874235152266655e-01,-1.947926020619857599e-03,-1.947944074424246127e-03,5.213736430162183391e-05,-1.015597285696660366e-07
1.300000000000000044e-01,-1.000000000000000000e+00,1.024951760522670341e+00,-1.896137786727446640e-03,-1.896149948440401271e-03,4.419844535613127909e-05,-8.380634235436875301e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.069251459362054568e+00,-1.850977824453882729e-03,-1.850982640867204505e-03,3.731511911697876337e-05,-6.906945800238283771e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.115465846670542716e+00,-1.811489547025289760e-03,-1.811485469017524086e-03,3.139103443394180713e-05,-5.686453074739651697e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.163677677681911549e+00,-1.776802971092335736e-03,-1.776788424240796421e-03,2.632478506956850806e-05,-4.677395632497648379e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.213973284414793241e+00,-1.746203518458446522e-03,-1.746176974848192079e-03,2.201444779225269303e-05,-3.844170619175143107e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.266442730265795458e+00,-1.719200765434305720e-03,-1.719160789988752542e-03,1.836144204048653330e-05,-3.156700521048208802e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.321179971284331733e+00,-1.695590739233855844e-03,-1.695535981601031762e-03,1.527354432407099642e-05,-2.589768031117260316e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.378283024417950919e+00,-1.675503709256364422e-03,-1.675432824213532196e-03,1.266700295712383669e-05,-2.122361043982232448e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.437854143029440479e+00,-1.659430352003780007e-03,-1.659341862857931097e-03,1.046778536998755459e-05,-1.737056076121846693e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.500000000000000000e+00,-1.648224350030403967e-03,-1.648116521837076623e-03,8.612038601952795634e-06,-1.419457172714039462e-08
3.699999999999999956e-01,1.000000000000000000e+00,1.000000000000000056e-01,5.944096420981703766e-03,5.940628614656687408e-03,5.479612555681688486e-05,3.257134538059393045e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.043221252497575080e-01,6.170219323125870035e-03,6.166635787481227968e-03,5.465127904845558252e-05,3.372103780183246394e-07
